source_namespace	source_id	task_id	requirement_id	acceptance_id	check_id	role	disposition
DEC	ADJ-09	TASK-032	R-001	AC-001	CHK-006	preservation	Preserve exact source shell allocation without new compact section switching from deferred F16.
DEC	ADJ-09	TASK-033	R-001	AC-001	CHK-004	primary	Preserve clipped source fields and original disabled Read-only transcript fixture; F16/F18 proposals do not redefine source frames or focus.
DEC	ADJ-09	TASK-039	R-001	AC-001	CHK-004	primary	Complete source app closure proves both present and absent geometry without inventing improved reachability.
DEC	ADJ-09	TASK-056	R-001	AC-001	CHK-004	primary	JA060 compact-open and advanced Diff nonempty copy leaves preview clipboard generation modal and full frame unchanged; F09 remains deferred.
DEC	ADJ-13	TASK-009	R-002	AC-002	CHK-006	primary	Implement sole private Unix backend signal broker and exact rule18 AST integration; unchanged enter/run APIs, same-flags fallible initialization retry and no global UI state.
DEC	ADJ-13	TASK-072	R-002	AC-011	CHK-013	primary	Independently qualify exact broker exception and all mutable-global cfg/type/path/alias negatives against the submitted checker before009; future production singleton receipt not prerequisite.
DEC	ADJ-13	TASK-068	R-001	AC-001	CHK-006	primary	Document explicit narrow backend exception without rewriting original core-global prohibition; retain accepted009/072 receipt boundaries.
DEC	ADJ-12	TASK-019	R-002	AC-002	CHK-006	primary	Total ordered visible-field validation and sensitivity-safe per-field error storage implement F10; only all-field success admits cross-validation and first invalid controls single focus/action.
DEC	ADJ-12	TASK-058	R-001	AC-001	CHK-004	primary	Oracle connection name and port validation errors remain simultaneously painted with first-error focus and blocked submit through one shared Form.
DEC	ADJ-12	TASK-068	R-001	AC-001	CHK-006	primary	Reconcile F10 and public validation documentation with accepted total visible-field scan and cross-validation precondition while retaining historical source evidence.
DEC	ADJ-09	TASK-016	R-002	AC-002	CHK-006	primary	Shared configured TextInput paste starts enabled idle edits and preserves validation sensitivity and controlled lifecycle without Cx or a second engine.
DEC	ADJ-09	TASK-017	R-002	AC-002	CHK-006	preservation	Keep default runtime capture and inert-below registration; explicit source-qualified app model commands are not hidden-layer dispatch.
DEC	ADJ-09	TASK-022	R-002	AC-002	CHK-006	preservation	F04 stays deferred; preserve accepted modern Grid eligibility guards without inventing an oracle app permission transition.
DEC	ADJ-09	TASK-023	R-002	AC-002	CHK-006	preservation	Layer and dialog ownership remains default; do not impose a false universal modal-first oracle paste assertion.
