group	source	destination	sha256
proof	docs/refactoring-plan/evidence/host-bootstrap-driver.py	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-driver.py	f1b2c8319824a65f08c5ebef69c164d48f275c44a1d680e8fa3f1ff9870f9c1c
proof	docs/refactoring-plan/evidence/host-bootstrap-fixture/AGENTS.md	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-fixture/AGENTS.md	255665efa95429654c616c37dfd60ac53c596453a048c604f565429c610a3951
proof	docs/refactoring-plan/evidence/host-bootstrap-fixture/README.md	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-fixture/README.md	c269454f46f1a8df9f0fed64285ceb1c52eebf306fad76fad3f2e084319b5fb7
proof	docs/refactoring-plan/evidence/host-bootstrap-fixture/check.py	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-fixture/check.py	a1ba0ef5a4cffb091d480fde3b1977612accb3e94dbf19460cf82f378f574726
proof	docs/refactoring-plan/evidence/host-bootstrap-fixture/forged-host.py	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-fixture/forged-host.py	54b07dd085f716166b8d1f3505e719fc8ab72ccc9053db99aaa4f14b771c023c
proof	docs/refactoring-plan/evidence/host-bootstrap-fixture/substituting-host.py	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-fixture/substituting-host.py	bee802edb5c8502674439c3c14f3e2c2768d18805579d1367aa149d8dfdb9b84
proof	docs/refactoring-plan/evidence/host-bootstrap-fixture/task.toml	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-fixture/task.toml	53799ee23646124e1e4094178643831ffe8a6fc36bdc1d1e48e455abeba7cf04
proof	docs/refactoring-plan/evidence/host-bootstrap-fixture/verify.toml	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-fixture/verify.toml	2cbbd73344a5a30e88f809920c140fbcc45718675a30fe75797d8af1e464847d
proof	docs/refactoring-plan/evidence/host-bootstrap-observer.py	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-observer.py	0e95a95c17163d269533a67a062fe3aa900dc75b9e27dae19f1ca28bd5c9e5d1
proof	docs/refactoring-plan/evidence/host-bootstrap-protocol.md	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-protocol.md	cbc76b1feeddc87abaadb63b8fb72b0f2b6cac97478199dec72c81b4e9f68e10
proof	docs/refactoring-plan/evidence/host-bootstrap-vectors.json	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/host-bootstrap-vectors.json	3bfd68251995a3e3115aca081d9789f101beca0f1b1d3c40cecd7ed312d77098
proof	docs/refactoring-plan/evidence/proof-comparator-bootstrap.py	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/proof-comparator-bootstrap.py	3ecb9c6ea3a37da22a864c0c016f6ea58a0ec52973742782d5f73c3e4c7c8dae
proof	docs/refactoring-plan/evidence/proof-comparator-protocol.md	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/proof-comparator-protocol.md	a055cc1d286aac5dbca457bc76015eee62406b9660dd3f4a2d862d85f3e15017
proof	docs/refactoring-plan/evidence/proof-comparator-vectors.json	refactoring-tasks/terminal-components/completion/001/trusted/proof-bootstrap/proof-comparator-vectors.json	84f4b35d92acc39bd5feddfb639920b8484aaff12f9de1f71807612d753046d0
flow	docs/refactoring-plan/app-flow-contribution-contract.md	refactoring-tasks/terminal-components/completion/069/trusted/app-flow-contribution-contract.md	3e2ecb1b2bce8b2a6fc159283e3771b5f198812e97d4f6555958d857fd86deaa
flow	docs/refactoring-plan/app-flow-contributions.tsv	refactoring-tasks/terminal-components/completion/069/trusted/app-flow-contributions.tsv	69495b477bede24ee34d85f50c6583d567370b81a6c45a340d360de870640f48
flow	docs/refactoring-plan/app-flow-frame-contributions.tsv	refactoring-tasks/terminal-components/completion/069/trusted/app-flow-frame-contributions.tsv	9168e444b4eb8e9513f76d5de760334a88cc6572631bed39795a35e6059a3cd7
flow	docs/refactoring-plan/app-flow-stage-audit.tsv	refactoring-tasks/terminal-components/completion/069/trusted/app-flow-stage-audit.tsv	64211a2a0fdd270a50e54d82c31fe32b53bbad9d955c3762d86e3730a291ed9d
flow	docs/refactoring-plan/holla-route-expansion.md	refactoring-tasks/terminal-components/completion/069/trusted/holla-route-expansion.md	aab96c612abe05388b08eb1275dc9324cf768dabb69ec67bc14c42b246176550
flow	docs/refactoring-plan/holla-route-sites.tsv	refactoring-tasks/terminal-components/completion/069/trusted/holla-route-sites.tsv	eb3c6d66bffd441fd61964b41e6c08f0c2db2ba33ec02f0184bde43834aba045
flow	docs/refactoring-plan/holla-stage-audit.tsv	refactoring-tasks/terminal-components/completion/069/trusted/holla-stage-audit.tsv	058bf7a7ec980410f37b9c698b847206f876704cc6eb403dfd93483c2efda7fc
flow	docs/refactoring-plan/holla-stage-contract.md	refactoring-tasks/terminal-components/completion/069/trusted/holla-stage-contract.md	2d8dd4c203d8b49ffec5b744e1aa8783fa841a2c6a83e08aec30183b57596cb1
